threshold,coverage,selective_risk,selective_acc,n_accepted,n_total
0.0,1.0,0.025000000000000022,0.975,120,120
0.01,1.0,0.025000000000000022,0.975,120,120
0.02,1.0,0.025000000000000022,0.975,120,120
0.03,1.0,0.025000000000000022,0.975,120,120
0.04,1.0,0.025000000000000022,0.975,120,120
0.05,1.0,0.025000000000000022,0.975,120,120
0.06,1.0,0.025000000000000022,0.975,120,120
0.07,1.0,0.025000000000000022,0.975,120,120
0.08,1.0,0.025000000000000022,0.975,120,120
0.09,1.0,0.025000000000000022,0.975,120,120
0.1,1.0,0.025000000000000022,0.975,120,120
0.11,1.0,0.025000000000000022,0.975,120,120
0.12,1.0,0.025000000000000022,0.975,120,120
0.13,1.0,0.025000000000000022,0.975,120,120
0.14,1.0,0.025000000000000022,0.975,120,120
0.15,1.0,0.025000000000000022,0.975,120,120
0.16,1.0,0.025000000000000022,0.975,120,120
0.17,1.0,0.025000000000000022,0.975,120,120
0.18,1.0,0.025000000000000022,0.975,120,120
0.19,1.0,0.025000000000000022,0.975,120,120
0.2,1.0,0.025000000000000022,0.975,120,120
0.21,1.0,0.025000000000000022,0.975,120,120
0.22,1.0,0.025000000000000022,0.975,120,120
0.23,1.0,0.025000000000000022,0.975,120,120
0.24,1.0,0.025000000000000022,0.975,120,120
0.25,1.0,0.025000000000000022,0.975,120,120
0.26,1.0,0.025000000000000022,0.975,120,120
0.27,1.0,0.025000000000000022,0.975,120,120
0.28,1.0,0.025000000000000022,0.975,120,120
0.29,1.0,0.025000000000000022,0.975,120,120
0.3,1.0,0.025000000000000022,0.975,120,120
0.31,1.0,0.025000000000000022,0.975,120,120
0.32,1.0,0.025000000000000022,0.975,120,120
0.33,1.0,0.025000000000000022,0.975,120,120
0.34,1.0,0.025000000000000022,0.975,120,120
0.35000000000000003,1.0,0.025000000000000022,0.975,120,120
0.36,1.0,0.025000000000000022,0.975,120,120
0.37,1.0,0.025000000000000022,0.975,120,120
0.38,1.0,0.025000000000000022,0.975,120,120
0.39,1.0,0.025000000000000022,0.975,120,120
0.4,1.0,0.025000000000000022,0.975,120,120
0.41000000000000003,1.0,0.025000000000000022,0.975,120,120
0.42,1.0,0.025000000000000022,0.975,120,120
0.43,1.0,0.025000000000000022,0.975,120,120
0.44,1.0,0.025000000000000022,0.975,120,120
0.45,1.0,0.025000000000000022,0.975,120,120
0.46,1.0,0.025000000000000022,0.975,120,120
0.47000000000000003,1.0,0.025000000000000022,0.975,120,120
0.48,1.0,0.025000000000000022,0.975,120,120
0.49,1.0,0.025000000000000022,0.975,120,120
0.5,1.0,0.025000000000000022,0.975,120,120
0.51,1.0,0.025000000000000022,0.975,120,120
0.52,0.9916666666666667,0.025210084033613467,0.9747899159663865,119,120
0.53,0.9916666666666667,0.025210084033613467,0.9747899159663865,119,120
0.54,0.9916666666666667,0.025210084033613467,0.9747899159663865,119,120
0.55,0.9916666666666667,0.025210084033613467,0.9747899159663865,119,120
0.56,0.9916666666666667,0.025210084033613467,0.9747899159663865,119,120
0.5700000000000001,0.9916666666666667,0.025210084033613467,0.9747899159663865,119,120
0.58,0.9916666666666667,0.025210084033613467,0.9747899159663865,119,120
